distnum,distname,bloc_share,cpc_share,gpc_share,lpc_share,ndp_share,ind_share,bloc_margin,cpc_margin,gpc_margin,lpc_margin,ndp_margin,ind_margin,winner,winnershare,province
35012,Brampton West/Brampton-Ouest,0.0,30.1,1.6,55.9,12.4,0.0,-55.9,-25.799999999999997,-54.3,0.0,-43.5,-55.9,LPC,55.9,Ontario
35013,Brantford--Brant,0.0,40.9,2.5,30.7,24.8,0.8,-40.9,0.0,-38.4,-10.2,-16.099999999999998,-40.1,CPC,40.9,Ontario
35014,Bruce--Grey--Owen Sound,0.0,46.7,3.3,38.8,11.1,0.0,-46.7,0.0,-43.400000000000006,-7.900000000000006,-35.6,-46.7,CPC,46.7,Ontario
35015,Burlington,0.0,42.5,2.4,46.0,9.1,0.0,-46.0,-3.5,-43.6,0.0,-36.9,-46.0,LPC,46.0,Ontario
35016,Cambridge,0.0,38.6,3.2,43.2,13.9,0.9,-43.2,-4.600000000000001,-40.0,0.0,-29.300000000000004,-42.300000000000004,LPC,43.2,Ontario
35088,Carleton,0.0,46.9,3.3,43.7,6.1,0.0,-46.9,0.0,-43.6,-3.1999999999999957,-40.8,-46.9,CPC,46.9,Ontario
35017,Chatham-Kent--Leamington,0.0,41.7,2.7,37.2,18.4,0.0,-41.7,0.0,-39.0,-4.5,-23.300000000000004,-41.7,CPC,41.7,Ontario
35018,Davenport,0.0,10.6,3.1,44.3,41.4,0.5,-44.3,-33.699999999999996,-41.199999999999996,0.0,-2.8999999999999986,-43.8,LPC,44.3,Ontario
35019,Don Valley East/Don Valley-Est,0.0,29.2,2.6,57.8,10.4,0.0,-57.8,-28.599999999999998,-55.199999999999996,0.0,-47.4,-57.8,LPC,57.8,Ontario
35020,Don Valley North/Don Valley-Nord,0.0,37.8,2.2,51.4,8.5,0.0,-51.4,-13.600000000000001,-49.199999999999996,0.0,-42.9,-51.4,LPC,51.4,Ontario
35021,Don Valley West/Don Valley-Ouest,0.0,37.6,1.7,53.8,6.0,0.6,-53.8,-16.199999999999996,-52.099999999999994,0.0,-47.8,-53.199999999999996,LPC,53.8,Ontario
35022,Dufferin--Caledon,0.0,46.3,7.3,39.1,7.3,0.0,-46.3,0.0,-39.0,-7.199999999999996,-39.0,-46.3,CPC,46.3,Ontario
35023,Durham,0.0,45.1,2.5,35.8,16.0,0.6,-45.1,0.0,-42.6,-9.300000000000004,-29.1,-44.5,CPC,45.1,Ontario
35024,Eglinton--Lawrence,0.0,42.6,1.4,48.9,6.3,0.6,-48.9,-6.299999999999997,-47.5,0.0,-42.6,-48.3,LPC,48.9,Ontario
35025,Elgin--Middlesex--London,0.0,49.2,3.1,31.0,15.4,0.9,-49.2,0.0,-46.1,-18.200000000000003,-33.800000000000004,-48.300000000000004,CPC,49.2,Ontario
35026,Essex,0.0,35.7,1.9,20.9,41.4,0.1,-41.4,-5.699999999999996,-39.5,-20.5,0.0,-41.3,NDP,41.4,Ontario
35027,Etobicoke Centre/Etobicoke-Centre,0.0,37.3,1.4,52.8,7.9,0.6,-52.8,-15.5,-51.4,0.0,-44.9,-52.199999999999996,LPC,52.8,Ontario
35029,Etobicoke North/Etobicoke-Nord,0.0,23.0,1.2,62.4,12.4,0.6,-62.4,-39.4,-61.199999999999996,0.0,-50.0,-61.8,LPC,62.4,Ontario
35028,Etobicoke--Lakeshore,0.0,32.4,2.3,53.7,10.9,0.4,-53.7,-21.300000000000004,-51.400000000000006,0.0,-42.800000000000004,-53.300000000000004,LPC,53.7,Ontario
35030,Flamborough--Glanbrook,0.0,43.5,3.4,39.1,14.0,0.0,-43.5,0.0,-40.1,-4.399999999999999,-29.5,-43.5,CPC,43.5,Ontario
35031,Glengarry--Prescott--Russell,0.0,36.4,1.8,53.3,7.9,0.6,-53.3,-16.9,-51.5,0.0,-45.4,-52.699999999999996,LPC,53.3,Ontario
35032,Guelph,0.0,26.3,11.3,49.1,12.0,0.7,-49.1,-22.8,-37.8,0.0,-37.1,-48.4,LPC,49.1,Ontario
35033,Haldimand--Norfolk,0.0,44.1,3.3,36.6,13.6,1.6,-44.1,0.0,-40.800000000000004,-7.5,-30.5,-42.5,CPC,44.1,Ontario
35034,Haliburton--Kawartha Lakes--Brock,0.0,44.8,4.0,31.8,19.4,0.0,-44.8,0.0,-40.8,-12.999999999999996,-25.4,-44.8,CPC,44.8,Ontario
35035,Hamilton Centre/Hamilton-Centre,0.0,14.6,4.3,33.4,45.6,0.8,-45.6,-31.0,-41.300000000000004,-12.200000000000003,0.0,-44.800000000000004,NDP,45.6,Ontario
35036,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,0.0,25.3,2.6,39.0,32.7,0.3,-39.0,-13.7,-36.4,0.0,-6.299999999999997,-38.7,LPC,39.0,Ontario
35037,Hamilton Mountain,0.0,25.7,2.5,33.5,35.9,1.5,-35.9,-10.2,-33.4,-2.3999999999999986,0.0,-34.4,NDP,35.9,Ontario
35038,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,0.0,31.8,4.2,47.7,16.3,0.0,-47.7,-15.900000000000002,-43.5,0.0,-31.400000000000002,-47.7,LPC,47.7,Ontario
35039,Hastings--Lennox and Addington,0.0,41.9,2.9,42.4,12.7,0.0,-42.4,-0.5,-39.5,0.0,-29.7,-42.4,LPC,42.4,Ontario
